wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 4665368917740216704,5152.0,,12.18465748,82.07,19.37997,19.771833,18.873669
Gaia DR2 4700949839864716288,8267.0,,11.38949301,87.80,17.492523,17.586626,17.386696
Gaia DR2 4715585022529286272,4653.0,,10.9099844,91.66,19.83375,20.432787,19.215687
Gaia DR2 4715799014980184064,4938.0,,17.59532114,56.83,19.055672,19.46735,18.491053
Gaia DR2 4729712376852843776,4565.0,,12.00435655,83.30,19.671616,20.235176,19.065342
Gaia DR2 4741021678578345856,4802.0,,11.1605632,89.60,19.480019,19.955276,18.885078
Gaia DR2 4754644142314191872,5988.0,,11.20781866,89.22,18.977688,19.297852,18.629076
Gaia DR2 4756807607541574656,8480.0,,11.14684817,89.71,17.489775,17.567102,17.382582
Gaia DR2 4758217971718493824,4714.0,,14.02065722,71.32,19.2278,19.72764,18.609283
Gaia DR2 4767443905066482560,6871.0,,20.58938961,48.57,16.999384,17.184998,16.730368
Gaia DR2 4773032207273095552,6537.0,,11.64953705,85.84,18.68598,18.916342,18.388712
Gaia DR2 4785619274654572928,5717.0,,14.92684833,66.99,18.371466,18.699533,17.990152
Gaia DR2 4787023286579857920,5383.0,,10.04031863,99.60,19.678288,20.023895,19.173584
Gaia DR2 4794599638953519360,8912.0,,21.50774534,46.49,15.816669,15.867873,15.731927
Gaia DR2 4800572426633509376,7450.0,,10.45675176,95.63,19.2146,19.293598,18.944656
Gaia DR2 4823007896975577088,4763.0,,15.34556562,65.17,18.978962,19.498768,18.325493
Gaia DR2 4838663392070177920,4742.0,,11.37381556,87.92,19.918001,20.384878,19.338621
Gaia DR2 4850650100332034176,6155.0,,18.86796824,53.00,17.582842,17.82119,17.249763
Gaia DR2 4872879506731875072,7810.0,,11.22441027,89.09,17.788502,17.905497,17.630667
Gaia DR2 4875543108012749312,5682.0,,10.83330011,92.31,18.924484,19.208323,18.50871
Gaia DR2 4882597643333297408,4603.0,,12.32053426,81.17,19.449787,20.170658,18.827284
Gaia DR2 4898880590203092992,7124.0,,11.31750544,88.36,18.6958,18.953573,18.375431
Gaia DR2 4907742035447425024,8768.0,,12.35301037,80.95,16.996807,17.050041,16.925694
Gaia DR2 492770016006993664,6129.0,,11.34391644,88.15,19.278053,19.652617,18.886318
Gaia DR2 4950475448214182144,7423.0,,15.40416324,64.92,17.406897,17.533468,17.206518
